SortName	Sequence	Size	Comparations	Time	Status
ShellSort	IncreasingSequence	5*10^3	33364	127mics	SUCCSES
SelectionSort	IncreasingSequence	5*10^3	12497500	43530mics	SUCCSES
RadixSort[1]	IncreasingSequence	5*10^3	0	1158mics	SUCCSES
RadixSort[2]	IncreasingSequence	5*10^3	0	614mics	SUCCSES
RadixSort[4]	IncreasingSequence	5*10^3	0	282mics	SUCCSES
RadixSort[8]	IncreasingSequence	5*10^3	0	149mics	SUCCSES
ShellSort	DecreasingSequence	5*10^3	38363	113mics	SUCCSES
SelectionSort	DecreasingSequence	5*10^3	12497500	43530mics	SUCCSES
RadixSort[1]	DecreasingSequence	5*10^3	0	1129mics	SUCCSES
RadixSort[2]	DecreasingSequence	5*10^3	0	568mics	SUCCSES
RadixSort[4]	DecreasingSequence	5*10^3	0	289mics	SUCCSES
RadixSort[8]	DecreasingSequence	5*10^3	0	153mics	SUCCSES
ShellSort	RandomSequence	5*10^3	101455	607mics	SUCCSES
SelectionSort	RandomSequence	5*10^3	12497500	44250mics	SUCCSES
RadixSort[1]	RandomSequence	5*10^3	0	1144mics	SUCCSES
RadixSort[2]	RandomSequence	5*10^3	0	566mics	SUCCSES
RadixSort[4]	RandomSequence	5*10^3	0	288mics	SUCCSES
RadixSort[8]	RandomSequence	5*10^3	0	154mics	SUCCSES
ShellSort	StepSequence	5*10^3	40311	178mics	SUCCSES
SelectionSort	StepSequence	5*10^3	12497500	43148mics	SUCCSES
RadixSort[1]	StepSequence	5*10^3	0	1105mics	SUCCSES
RadixSort[2]	StepSequence	5*10^3	0	552mics	SUCCSES
RadixSort[4]	StepSequence	5*10^3	0	281mics	SUCCSES
RadixSort[8]	StepSequence	5*10^3	0	149mics	SUCCSES
ShellSort	IncreasingSequence	10*10^3	75084	233mics	SUCCSES
SelectionSort	IncreasingSequence	10*10^3	49995000	175660mics	SUCCSES
RadixSort[1]	IncreasingSequence	10*10^3	0	2331mics	SUCCSES
RadixSort[2]	IncreasingSequence	10*10^3	0	1164mics	SUCCSES
RadixSort[4]	IncreasingSequence	10*10^3	0	588mics	SUCCSES
RadixSort[8]	IncreasingSequence	10*10^3	0	303mics	SUCCSES
